Date,Close,Volume,MA
2004-12-17,1.160536,783496000,1.167262
2004-12-20,1.12,1168126400,1.160029833
2004-12-21,1.137321,1064414400,1.156398833
2004-12-22,1.138393,565829600,1.1518155
2004-12-23,1.143036,245929600,1.148095333
2004-12-27,1.127857,559490400,1.137857167
2004-12-28,1.146071,611755200,1.135446333
2004-12-29,1.150714,449562400,1.140565333
2004-12-30,1.157143,345340800,1.143869
2004-12-31,1.15,278588800,1.1458035
2005-01-03,1.130179,691992000,1.143660667
2005-01-04,1.141786,1096810400,1.145982167
2005-01-05,1.151786,680433600,1.146934667
2005-01-06,1.152679,705555200,1.147262167
2005-01-07,1.236607,2227450400,1.160506167
2005-01-10,1.231429,1725309600,1.174077667
2005-01-11,1.152857,2611627200,1.177857333
2005-01-12,1.168929,1919702400,1.182381167
2005-01-13,1.246429,3164716800,1.198155
2005-01-14,1.253571,1770742400,1.214970333
2005-01-18,1.261607,1006460000,1.219137
2005-01-19,1.247857,751895200,1.221875
2005-01-20,1.258214,914922400,1.2394345
2005-01-21,1.25875,911332800,1.254404667
2005-01-24,1.263571,841629600,1.257261667
2005-01-25,1.286607,969231200,1.262767667
2005-01-26,1.290179,739496800,1.267529667
2005-01-27,1.297143,496227200,1.275744
2005-01-28,1.321071,801612000,1.286220167
2005-01-31,1.373214,1681097600,1.3052975
2005-02-01,1.384464,678395200,1.325446333
2005-02-02,1.421964,1020062400,1.348005833
2005-02-03,1.389464,731651200,1.364553333
2005-02-04,1.407857,563556000,1.383005667
2005-02-07,1.409643,524456800,1.397767667
2005-02-08,1.444643,890019200,1.4096725
2005-02-09,1.406071,1191456000,1.413273667
2005-02-10,1.399286,1093019200,1.409494
2005-02-11,1.450179,1201054400,1.419613167
2005-02-14,1.51125,1271463200,1.436845333
2005-02-15,1.57875,2312217600,1.465029833
2005-02-16,1.609464,1639243200,1.4925
2005-02-17,1.568036,1518473600,1.519494167
2005-02-18,1.550179,1163254400,1.544643
2005-02-22,1.523036,1219293600,1.556785833
2005-02-23,1.575536,1345181600,1.567500167
2005-02-24,1.588036,1519028000,1.569047833
2005-02-25,1.589107,915510400,1.565655
2005-02-28,1.602143,651610400,1.5713395
2005-03-01,1.589286,468188000,1.577857333
2005-03-02,1.575714,458161200,1.586637
2005-03-03,1.4925,1411653600,1.572797667
2005-03-04,1.528929,756618800,1.5629465
2005-03-07,1.526786,450632000,1.552559667
2005-03-08,1.4475,1021451200,1.526785833
2005-03-09,1.405357,1322465200,1.496131
2005-03-10,1.4225,777109200,1.470595333
2005-03-11,1.438214,632830800,1.461547667
2005-03-14,1.44,605385200,1.446726167
2005-03-15,1.462857,508608800,1.436071333
2005-03-16,1.470714,697813200,1.439940333
2005-03-17,1.508929,801920000,1.457202333
2005-03-18,1.534286,940150400,1.475833333
2005-03-21,1.560714,541128000,1.49625
2005-03-22,1.529643,551415200,1.5111905
2005-03-23,1.519643,609823200,1.520654833
2005-03-24,1.517857,352704800,1.528512
2005-03-28,1.518929,275410800,1.530178667
2005-03-29,1.491071,461356000,1.522976167
2005-03-30,1.528571,394959600,1.517619
2005-03-31,1.488214,636134800,1.510714167
2005-04-01,1.460357,641284000,1.500833167
2005-04-04,1.4675,580014400,1.492440333
2005-04-05,1.496071,556239600,1.488630667
2005-04-06,1.511786,414825600,1.492083167
2005-04-07,1.555714,506987600,1.496607
2005-04-08,1.562143,649950000,1.5089285
2005-04-11,1.497143,821662800,1.5150595
2005-04-12,1.523571,981061200,1.524404667
2005-04-13,1.465714,1371946800,1.519345167
2005-04-14,1.330714,2753192400,1.4891665
2005-04-15,1.2625,1728087200,1.4402975
2005-04-18,1.272143,1327177600,1.391964167
2005-04-19,1.324643,1081642800,1.363214167
2005-04-20,1.268214,945131600,1.320654667
2005-04-21,1.327857,759592400,1.2976785
2005-04-22,1.267857,839129200,1.287202333
2005-04-25,1.320714,746460400,1.296904667
2005-04-26,1.2925,810507600,1.3002975
2005-04-27,1.283929,613888800,1.293511833
2005-04-28,1.269286,575106000,1.2936905
2005-04-29,1.287857,671630400,1.287023833
2005-05-02,1.301071,465920000,1.2925595
2005-05-03,1.293214,496739600,1.287976167
2005-05-04,1.326786,448176400,1.2936905
2005-05-05,1.31,387366000,1.298035667
2005-05-06,1.33,326247600,1.308154667
2005-05-09,1.320357,355695200,1.313571333
2005-05-10,1.300714,440263600,1.313511833
2005-05-11,1.271786,2041981200,1.3099405
2005-05-12,1.218929,970242000,1.291964333
2005-05-13,1.241786,702713200,1.280595333
2005-05-16,1.269643,474294800,1.270535833
2005-05-17,1.262857,588344400,1.2609525
2005-05-18,1.28,636722800,1.257500167
2005-05-19,1.341071,793161600,1.269047667
2005-05-20,1.341071,452650800,1.289404667
2005-05-23,1.42,1042574400,1.319107
2005-05-24,1.417857,593460000,1.343809333
2005-05-25,1.420714,396006800,1.370118833
2005-05-26,1.455,525520800,1.3992855
2005-05-27,1.448571,316008000,1.417202167
2005-05-31,1.42,404205200,1.430357
2005-06-01,1.439286,453812800,1.433571333
2005-06-02,1.43,373973600,1.435595167
2005-06-03,1.365714,956869200,1.4264285
2005-06-06,1.354286,811966400,1.409642833
2005-06-07,1.305,745264800,1.385714333
2005-06-08,1.318571,404006400,1.3688095
2005-06-09,1.344643,390255600,1.353035667
2005-06-10,1.278929,678932800,1.327857167
2005-06-13,1.282143,435772400,1.313928667
2005-06-14,1.285714,347846800,1.3025
2005-06-15,1.326071,563343200,1.306011833
2005-06-16,1.356429,547674400,1.3123215
2005-06-17,1.368214,596125600,1.31625
2005-06-20,1.343214,323716400,1.326964167
2005-06-21,1.352143,370526800,1.338630833
2005-06-22,1.376786,424925200,1.3538095
2005-06-23,1.388929,674254000,1.364285833
2005-06-24,1.348571,410709600,1.362976167
2005-06-27,1.325,600171600,1.355773833
2005-06-28,1.3325,350299600,1.353988167
2005-06-29,1.298929,448358400,1.345119167
2005-06-30,1.314643,418390000,1.334762
2005-07-01,1.303571,250000800,1.320535667
2005-07-05,1.356429,454269200,1.321845333
2005-07-06,1.335357,394626400,1.3235715
2005-07-07,1.343929,383723200,1.325476333
2005-07-08,1.366071,290735200,1.336666667
2005-07-11,1.360714,388788400,1.344345167
2005-07-12,1.365714,387038400,1.354702333
2005-07-13,1.369643,684835200,1.356904667
2005-07-14,1.455357,2096060400,1.376904667
2005-07-15,1.483929,687682800,1.400238
2005-07-18,1.481786,586297600,1.419523833
2005-07-19,1.5425,671062000,1.4498215
2005-07-20,1.558214,453395600,1.481904833
2005-07-21,1.546071,404264000,1.5113095
2005-07-22,1.571429,301106400,1.530654833
2005-07-25,1.564643,294627200,1.544107167
2005-07-26,1.558214,268592800,1.556845167
2005-07-27,1.571071,283749200,1.561607
2005-07-28,1.564286,251311200,1.562619
2005-07-29,1.523214,562080400,1.5588095
2005-08-01,1.526786,314249600,1.551369
2005-08-02,1.5425,296875600,1.5476785
2005-08-03,1.543571,258322400,1.545238
2005-08-04,1.525357,269304000,1.537619
2005-08-05,1.535357,241931200,1.5327975
2005-08-08,1.523214,176383200,1.5327975
2005-08-09,1.565,380839200,1.5391665
2005-08-10,1.549286,360945200,1.5402975
2005-08-11,1.571429,271983600,1.5449405
2005-08-12,1.646429,916036800,1.565119167
2005-08-15,1.702857,1086727600,1.593035833
2005-08-16,1.651786,537622400,1.6144645
2005-08-17,1.683929,499724400,1.634286
2005-08-18,1.653571,442559600,1.651666833
2005-08-19,1.636786,376569200,1.662559667
2005-08-22,1.638214,387732800,1.6611905
2005-08-23,1.633571,295604400,1.649642833
2005-08-24,1.634643,572070800,1.646785667
2005-08-25,1.645,276253600,1.6402975
2005-08-26,1.633571,261058000,1.636964167
2005-08-29,1.637143,256295200,1.637023667
2005-08-30,1.663214,518761600,1.641190333
2005-08-31,1.674643,402956400,1.648035667
2005-09-01,1.652143,356367200,1.650952333
2005-09-02,1.650714,222378800,1.651904667
2005-09-06,1.742857,818619200,1.670119
2005-09-07,1.738571,963074000,1.687023667
2005-09-08,1.777857,702640400,1.706130833
2005-09-09,1.8325,615641600,1.732440333
2005-09-12,1.835714,452796400,1.7630355
2005-09-13,1.815,492884000,1.7904165
2005-09-14,1.771786,474426400,1.795238
2005-09-15,1.781071,415156000,1.802321333
2005-09-16,1.828929,591004400,1.810833333
2005-09-19,1.88,783731200,1.81875
2005-09-20,1.899643,819828800,1.829404833
2005-09-21,1.861071,434747600,1.837083333
2005-09-22,1.853571,463727600,1.850714167
2005-09-23,1.9,558457200,1.870535667
2005-09-26,1.922857,546562800,1.886190333
2005-09-27,1.908571,341703600,1.890952167
2005-09-28,1.824286,1125544000,1.878392667
2005-09-29,1.869286,636846000,1.879761833
2005-09-30,1.914643,531633200,1.8899405
2005-10-03,1.944286,507553200,1.8973215
2005-10-04,1.919643,539459200,1.896785833
2005-10-05,1.885,610769600,1.892857333
2005-10-06,1.846429,757537200,1.896547833
2005-10-07,1.832143,677882800,1.890357333
2005-10-10,1.798929,507505600,1.871071667
2005-10-11,1.8425,1225884800,1.854107333
2005-10-12,1.758929,2697486400,1.827321667
2005-10-13,1.919286,1865575600,1.833036
2005-10-14,1.928571,1035552000,1.846726333
2005-10-17,1.908571,616834400,1.859464333
2005-10-18,1.864643,609588000,1.870416667
2005-10-19,1.962143,1008683200,1.890357167
2005-10-20,2.005,1357762000,1.931369
2005-10-21,1.987857,796726000,1.9427975
2005-10-24,2.028214,609753200,1.959404667
2005-10-25,2.003571,465127600,1.975238
2005-10-26,2.036786,631593200,2.0039285
2005-10-27,1.978929,411541200,2.006726167
2005-10-28,1.945357,769787200,1.996785667
2005-10-31,2.056786,940844800,2.008273833
2005-11-01,2.053571,749686000,2.0125
2005-11-02,2.141071,857060400,2.035416667
2005-11-03,2.208929,884382800,2.064107167
2005-11-04,2.183929,878035200,2.098273833
2005-11-07,2.151071,638831200,2.1325595
2005-11-08,2.139286,473765600,2.1463095
2005-11-09,2.146786,552930000,2.161845333
2005-11-10,2.185,665344400,2.169166833
2005-11-11,2.197857,425448800,2.1673215
2005-11-14,2.194643,369933200,2.169107167
2005-11-15,2.224286,536841200,2.181309667
2005-11-16,2.319643,784515200,2.211369167
2005-11-17,2.304286,676205600,2.237619167
2005-11-18,2.305714,524960800,2.257738167
2005-11-21,2.32,511711200,2.278095333
2005-11-22,2.375714,540282400,2.308273833
2005-11-23,2.396786,485853200,2.337023833
2005-11-25,2.476429,395012800,2.363154833
2005-11-28,2.487857,1018519600,2.39375
2005-11-29,2.432143,891433200,2.4148215
2005-11-30,2.422143,595674800,2.431845333
